chavematricula;codmatricula;ra;codcurso;serie;coddisciplina;sigladisciplina;notan1;notan2;notaaps
01001BSISM1A;1252BSISM1A;101434;125;2;1173;702_092_AP;0.00;1.00;0.50
01002BSISM1A;1252BSISM1A;101434;125;2;1174;702_092_FA;8.00;4.75;0.50
01003BSISM1A;1252BSISM1A;101434;125;2;1175;702_092_FSI;7.5;5.00;2.00
01004BSISM1A;1252BSISM1A;101434;125;2;1176;702_092_LP;4.00;2.00;1.00
01005BSISM1A;1252BSISM1A;101434;125;2;1177;702_092_M;6.00;10.00;3.00
01006BSISM1A;1252BSISM1A;101434;125;2;1178;702_092_PPI;8.00;9.65;1.00
01007LADMN1A;1208LADMN1A;101437;120;8;547;108_081_EC;0.00;5.00;4.75
01008LADMN1A;1208LADMN1A;101437;120;8;548;108_081_FC;9.00;9.65;5.00
01009LADMN1A;1208LADMN1A;101437;120;8;554;108_081_JE;10.00;9.65;7.00
01010LADMN1A;1208LADMN1A;101437;120;8;550;108_081_M;9.00;3.00;0.50
01011LADMN1A;1208LADMN1A;101437;120;8;555;108_081_PN;0.00;8.5;9.65
01012LADMN1A;1208LADMN1A;101437;120;8;553;108_081_TCC;7.5;6.00;10.00
01013BSGIN2A;1341BSGIN2A;101444;134;1;1168;701_092_AP;9.00;4.75;7.00
01014BSGIN2A;1341BSGIN2A;101444;134;1;1169;701_092_IB;5.25;8.5;1.00
01015BSGIN2A;1341BSGIN2A;101444;134;1;1170;701_092_LP;0.00;8.5;4.75
01016BSGIN2A;1341BSGIN2A;101444;134;1;1171;701_092_M;3.5;10.00;6.00
01017BSGIN2A;1341BSGIN2A;101444;134;1;1172;701_092_PPI;0.00;6.00;4.75
01018LBDDM2A;1272LBDDM2A;101453;127;2;589;823B_092_FBD;1.00;10.00;4.75
01019LBDDM2A;1272LBDDM2A;101453;127;2;590;823B_092_FSO;6.00;2.00;2.00
01020LBDDM2A;1272LBDDM2A;101453;127;2;591;823B_092_ICSOR;2.00;6.00;8.50
01021LBDDM2A;1272LBDDM2A;101453;127;2;592;823B_092_ICS;10.00;3.00;7.00
01022LBDDM2A;1272LBDDM2A;101453;127;2;593;823B_092_PPI;3.5;10.00;6.00
01023LCCPM1A;1213LCCPM1A;101459;121;3;634;203_092_E;0.00;7.00;10.00
01024LCCPM1A;1213LCCPM1A;101459;121;3;635;203_092_ED;8.00;1.00;9.65
01025LCCPM1A;1213LCCPM1A;101459;121;3;636;203_092_LP;4.00;8.5;8.50
01026LCCPM1A;1213LCCPM1A;101459;121;3;637;203_092_MC;8.00;9.65;10.00
01027LCCPM1A;1213LCCPM1A;101459;121;3;638;203_092_PPI;3.5;9.65;3.00
01028BJGDN1A;1311BJGDN1A;101466;131;1;1168;701_092_AP;7.5;1.00;8.50
01029BJGDN1A;1311BJGDN1A;101466;131;1;1169;701_092_IB;4.00;4.75;8.50
01030BJGDN1A;1311BJGDN1A;101466;131;1;1170;701_092_LP;8.00;4.75;6.00
01031BJGDN1A;1311BJGDN1A;101466;131;1;1171;701_092_M;2.00;5.00;7.00
01032BJGDN1A;1311BJGDN1A;101466;131;1;1172;701_092_PPI;10.00;1.00;8.50
01033BBLCM1A;1291BBLCM1A;101482;129;1;1168;701_092_AP;1.00;3.00;2.00
