codmatricula;chavematricula;unidade;codcoordenador;siglacurso;codcurso;serie;coddisciplina;anoagenda;semletivo;sigladisciplina;codturma;siglaturno;horario;diasemana;codprofessor;titulacao
1201LADMN1A;1201LADMN1A0364;LIBERDADE;5;ADM;120;1;500;2021;2;101_092_FA;LADMN1A;N1;18:00-20:30;Quinta Feira;100344;ESPECIALISTA
1201LADMN1A;1201LADMN1A1569;LIBERDADE;5;ADM;120;1;501;2021;2;101_092_IB;LADMN1A;N1;18:00-20:30;Segunda Feira;100036;ESPECIALISTA
1201LADMN1A;1201LADMN1A1084;LIBERDADE;5;ADM;120;1;502;2021;2;101_092_LP;LADMN1A;N1;18:00-20:30;Terça Feira;100013;MESTRE
1201LADMN1A;1201LADMN1A0614;LIBERDADE;5;ADM;120;1;503;2021;2;101_092_M;LADMN1A;N1;18:00-20:30;Quarta Feira;100391;ESPECIALISTA
1201LADMN1A;1201LADMN1A0458;LIBERDADE;5;ADM;120;1;504;2021;2;101_092_PPI;LADMN1A;N1;18:00-20:30;Sexta Feira;100360;MESTRE
1201BADMN1A;1201BADMN1A1295;BRIGADEIRO;5;ADM;120;1;500;2021;2;101_092_FA;BADMN1A;N1;18:00-20:30;Quarta Feira;100653;ESPECIALISTA
1201BADMN1A;1201BADMN1A1267;BRIGADEIRO;5;ADM;120;1;501;2021;2;101_092_IB;BADMN1A;N1;18:00-20:30;Terça Feira;100245;ESPECIALISTA
1201BADMN1A;1201BADMN1A0433;BRIGADEIRO;5;ADM;120;1;502;2021;2;101_092_LP;BADMN1A;N1;18:00-20:30;Segunda Feira;100191;ESPECIALISTA
1201BADMN1A;1201BADMN1A1217;BRIGADEIRO;5;ADM;120;1;503;2021;2;101_092_M;BADMN1A;N1;18:00-20:30;Quinta Feira;100654;ESPECIALISTA
1201BADMN1A;1201BADMN1A0073;BRIGADEIRO;5;ADM;120;1;504;2021;2;101_092_PPI;BADMN1A;N1;18:00-20:30;Sexta Feira;100360;MESTRE
1201BADMN2A;1201BADMN2A1157;BRIGADEIRO;5;ADM;120;1;500;2021;2;101_092_FA;BADMN2A;N2;20:40-23:10;Quarta Feira;100399;ESPECIALISTA
1201BADMN2A;1201BADMN2A1457;BRIGADEIRO;5;ADM;120;1;501;2021;2;101_092_IB;BADMN2A;N2;20:40-23:10;Terça Feira;100374;ESPECIALISTA
1201BADMN2A;1201BADMN2A0269;BRIGADEIRO;5;ADM;120;1;502;2021;2;101_092_LP;BADMN2A;N2;20:40-23:10;Segunda Feira;100049;ESPECIALISTA
1201BADMN2A;1201BADMN2A0709;BRIGADEIRO;5;ADM;120;1;503;2021;2;101_092_M;BADMN2A;N2;20:40-23:10;Quinta Feira;91;DOUTOR
1201BADMN2A;1201BADMN2A0304;BRIGADEIRO;5;ADM;120;1;504;2021;2;101_092_PPI;BADMN2A;N2;20:40-23:10;Sexta Feira;100256;ESPECIALISTA
1201BADMN2B;1201BADMN2B0768;BRIGADEIRO;5;ADM;120;1;500;2021;2;101_092_FA;BADMN2B;N2;20:40-23:10;Terça Feira;100730;ESPECIALISTA
1201BADMN2B;1201BADMN2B0698;BRIGADEIRO;5;ADM;120;1;501;2021;2;101_092_IB;BADMN2B;N2;20:40-23:10;Segunda Feira;100652;ESPECIALISTA
1201BADMN2B;1201BADMN2B0349;BRIGADEIRO;5;ADM;120;1;502;2021;2;101_092_LP;BADMN2B;N2;20:40-23:10;Quarta Feira;100049;ESPECIALISTA
1201BADMN2B;1201BADMN2B0577;BRIGADEIRO;5;ADM;120;1;503;2021;2;101_092_M;BADMN2B;N2;20:40-23:10;Quinta Feira;100485;ESPECIALISTA
1201BADMN2B;1201BADMN2B1271;BRIGADEIRO;5;ADM;120;1;504;2021;2;101_092_PPI;BADMN2B;N2;20:40-23:10;Sexta Feira;100256;ESPECIALISTA
1202BADMN1A;1202BADMN1A1397;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN1A;N1;18:00-20:30;Quarta Feira;100379;ESPECIALISTA
1202BADMN1A;1202BADMN1A1304;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN1A;N1;18:00-20:30;Quinta Feira;100408;MESTRE
1202BADMN1A;1202BADMN1A0576;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN1A;N1;18:00-20:30;Segunda Feira;237;MESTRE
1202BADMN1A;1202BADMN1A0972;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN1A;N1;18:00-20:30;Sexta Feira;100237;ESPECIALISTA
1202BADMN1A;1202BADMN1A1076;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN1A;N1;18:00-20:30;Terça Feira;100237;ESPECIALISTA
1202BADMN1B;1202BADMN1B0622;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN1B;N1;18:00-20:30;Quarta Feira;282;MESTRE
1202BADMN1B;1202BADMN1B0143;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN1B;N1;18:00-20:30;Segunda Feira;100428;ESPECIALISTA
1202BADMN1B;1202BADMN1B1452;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN1B;N1;18:00-20:30;Quinta Feira;100097;DOUTOR
1202BADMN1B;1202BADMN1B1060;BRIGADEIRO;5;ADM;120;2;508;2021;2;102_092_PPI;BADMN1B;N1;18:00-20:30;Sexta Feira;216;MESTRE
1202BADMN1B;1202BADMN1B0504;BRIGADEIRO;5;ADM;120;2;509;2021;2;102_092_TGA;BADMN1B;N1;18:00-20:30;Terça Feira;216;MESTRE
1202BADMN1A;1202BADMN1A0366;BRIGADEIRO;5;ADM;120;2;505;2021;2;102_092_CG;BADMN1A;N1;18:00-20:30;Quinta Feira;100424;ESPECIALISTA
1202BADMN1A;1202BADMN1A0595;BRIGADEIRO;5;ADM;120;2;506;2021;2;102_092_LP;BADMN1A;N1;18:00-20:30;Terça Feira;100408;MESTRE
1202BADMN1A;1202BADMN1A0611;BRIGADEIRO;5;ADM;120;2;507;2021;2;102_092_M;BADMN1A;N1;18:00-20:30;Quarta Feira;100397;MESTRE
