chavematricula;codmaricula;ra;codcurso;serie;codturno;codunidade;unidade;codturma;siglaturno;tipocurso;datamatricula;coddisciplina;sigladisciplina;status
01001BPEDN1A;1242BPEDN1A;100663;124;2;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;21/07/21;1023;502_092_PE;Ativo
01002BPEDN1A;1242BPEDN1A;100663;124;2;1;2;BRIGADEIRO;BPEDN1A;N1;BACHARELADO;21/07/21;1024;502_092_TE;Ativo
01003BBDIM2A;1284BBDIM2A;100664;128;4;4;2;BRIGADEIRO;BBDIM2A;M2;TECNOLOGICO;05/06/21;9999;Matricula;Cancelado
01004LSIDM1A;1354LSIDM1A;100665;135;4;3;1;LIBERDADE;LSIDM1A;M1;TECNOLOGICO;30/06/21;9999;Matricula;Trancado
01005BMATN1A;1232BMATN1A;100666;123;2;1;2;BRIGADEIRO;BMATN1A;N1;BACHARELADO;03/07/21;1215;1261215ACP;Ativo
01006LSIDM2A;1351LSIDM2A;100667;135;1;4;1;LIBERDADE;LSIDM2A;M2;TECNOLOGICO;28/06/21;9999;Matricula;Concluido
01007BADSN2A;1265BADSN2A;100668;126;5;2;2;BRIGADEIRO;BADSN2A;N2;TECNOLOGICO;16/06/21;9999;Matricula;Cancelado
01008BMATM2A;1238BMATM2A;100669;123;8;4;2;BRIGADEIRO;BMATM2A;M2;BACHARELADO;20/06/21;1240;1261240INE;Ativo
01009BICCM1A;1302BICCM1A;100670;130;2;3;2;BRIGADEIRO;BICCM1A;M1;TECNOLOGICO;14/07/21;9999;Matricula;Cancelado
01010BICCN2A;1304BICCN2A;100671;130;4;2;2;BRIGADEIRO;BICCN2A;N2;TECNOLOGICO;18/06/21;9999;Matricula;Cancelado
01011LICCN1A;1302LICCN1A;100672;130;2;1;1;LIBERDADE;LICCN1A;N1;TECNOLOGICO;26/06/21;9999;Matricula;Cancelado
01012BLICM2A;1381BLICM2A;100673;138;1;4;2;BRIGADEIRO;BLICM2A;M2;LICENCIATURA;29/06/21;9999;Matricula;Cancelado
01013LREDN2A;1322LREDN2A;100674;132;2;2;1;LIBERDADE;LREDN2A;N2;TECNOLOGICO;04/07/21;1079;821B_092_101_CR;Ativo
01014LREDN2A;1322LREDN2A;100674;132;2;2;1;LIBERDADE;LREDN2A;N2;TECNOLOGICO;04/07/21;1080;821B_092_101_FIE;Ativo
01015LREDN2A;1322LREDN2A;100674;132;2;2;1;LIBERDADE;LREDN2A;N2;TECNOLOGICO;04/07/21;1081;821B_092_101_FSO;Ativo
01016LREDN2A;1322LREDN2A;100674;132;2;2;1;LIBERDADE;LREDN2A;N2;TECNOLOGICO;04/07/21;1082;821B_092_101_ICSO;Ativo
01017LREDN2A;1322LREDN2A;100674;132;2;2;1;LIBERDADE;LREDN2A;N2;TECNOLOGICO;04/07/21;1083;821B_092_101_PPI;Ativo
01018LLIPM2A;1375LLIPM2A;100675;137;5;4;1;LIBERDADE;LLIPM2A;M2;LICENCIATURA;19/06/21;9999;Matricula;Cancelado
01019BADSN1A;1263BADSN1A;100676;126;3;1;2;BRIGADEIRO;BADSN1A;N1;TECNOLOGICO;21/06/21;9999;Matricula;Trancado
01020LADMN1A;1204LADMN1A;100677;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;24/06/21;521;104_081_ADF;Ativo
01021LADMN1A;1204LADMN1A;100677;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;24/06/21;522;104_081_CO;Ativo
01022LADMN1A;1204LADMN1A;100677;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;24/06/21;523;104_081_DEM;Ativo
01023LADMN1A;1204LADMN1A;100677;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;24/06/21;524;104_081_E;Ativo
01024LADMN1A;1204LADMN1A;100677;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;24/06/21;525;104_081_M;Ativo
01025LADMN1A;1204LADMN1A;100677;120;4;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;24/06/21;526;104_081_PPIN;Ativo
01026LCCTM1A;1227LCCTM1A;100678;122;7;3;1;LIBERDADE;LCCTM1A;M1;BACHARELADO;22/07/21;9999;Matricula;Trancado
01027BSISN1A;1257BSISN1A;100679;125;7;1;2;BRIGADEIRO;BSISN1A;N1;BACHARELADO;19/06/21;9999;Matricula;Cancelado
01028BSECM2A;1335BSECM2A;100680;133;5;4;2;BRIGADEIRO;BSECM2A;M2;TECNOLOGICO;29/06/21;9999;Matricula;Trancado
01029LCCPN1A;1218LCCPN1A;100681;121;8;1;1;LIBERDADE;LCCPN1A;N1;BACHARELADO;20/06/21;9999;Matricula;Trancado
01030LPEDM1A;1247LPEDM1A;100682;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;21/06/21;1058;507_081_APMD;Ativo
01031LPEDM1A;1247LPEDM1A;100682;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;21/06/21;1059;507_081_FI;Ativo
01032LPEDM1A;1247LPEDM1A;100682;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;21/06/21;1060;507_081_MA;Ativo
01033LPEDM1A;1247LPEDM1A;100682;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;21/06/21;1061;507_081_MEH;Ativo
01034LPEDM1A;1247LPEDM1A;100682;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;21/06/21;1062;507_081_TCC;Ativo
01035LPEDM1A;1247LPEDM1A;100682;124;7;3;1;LIBERDADE;LPEDM1A;M1;BACHARELADO;21/06/21;1063;507_081_PPI;Ativo
01036LBDDN2A;1274LBDDN2A;100683;127;4;2;1;LIBERDADE;LBDDN2A;N2;TECNOLOGICO;20/06/21;9999;Matricula;Trancado
01037LADMN1A;1202LADMN1A;100684;120;2;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;23/07/21;505;102_092_CG;Ativo
01038LADMN1A;1202LADMN1A;100684;120;2;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;23/07/21;506;102_092_LP;Ativo
01039LADMN1A;1202LADMN1A;100684;120;2;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;23/07/21;507;102_092_M;Ativo
01040LADMN1A;1202LADMN1A;100684;120;2;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;23/07/21;508;102_092_PPI;Ativo
01041LADMN1A;1202LADMN1A;100684;120;2;1;1;LIBERDADE;LADMN1A;N1;BACHARELADO;23/07/21;509;102_092_TGA;Ativo
01042LMATM1A;1238LMATM1A;100685;123;8;3;1;LIBERDADE;LMATM1A;M1;BACHARELADO;16/07/21;1218;1261218ATC;Ativo
01043LENCN2A;1363LENCN2A;100686;136;3;2;1;LIBERDADE;LENCN2A;N2;ENGENHARIA;15/07/21;9999;Matricula;Cancelado
01044BLICM2A;1382BLICM2A;100687;138;2;4;2;BRIGADEIRO;BLICM2A;M2;LICENCIATURA;20/06/21;9999;Matricula;Concluido
01045BPEDM2A;1241BPEDM2A;100688;124;1;4;2;BRIGADEIRO;BPEDM2A;M2;BACHARELADO;21/07/21;9999;Matricula;Concluido
01046BADMM2A;1204BADMM2A;100689;120;4;4;2;BRIGADEIRO;BADMM2A;M2;BACHARELADO;22/06/21;9999;Matricula;Cancelado
01047LMATN2A;1236LMATN2A;100690;123;6;2;1;LIBERDADE;LMATN2A;N2;BACHARELADO;10/06/21;1221;1261221COM;Ativo
01048BBLCN1A;1292BBLCN1A;100691;129;2;1;2;BRIGADEIRO;BBLCN1A;N1;TECNOLOGICO;28/06/21;9999;Matricula;Cancelado
01049BSIDN1A;1354BSIDN1A;100692;135;4;1;2;BRIGADEIRO;BSIDN1A;N1;TECNOLOGICO;20/06/21;9999;Matricula;Cancelado
01050LLICM1A;1383LLICM1A;100693;138;3;3;1;LIBERDADE;LLICM1A;M1;LICENCIATURA;06/07/21;9999;Matricula;Concluido
